,name,type,description,prerequesite,skill_tree_id
21,Relentless II,Passive,Maximum Ki increases by +20 when you have a switchglaive equipped as your main weapon.,"Relentless I
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
22,Relentless III,Passive,Maximum Ki increases by +10 when you have a switchglaive equipped as your main weapon.,"Relentless II
Cleared Mission ""???""",11
23,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 15% when you have a switchglaive equipped as your main weapon.
Command: Following another attakc R1 + X",Switch Stance: Blade,11
24,Indomitable Spirit II, Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 10% when you have a switchglaive  equipped as your main weapon. ","Indomitable Spirit II
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
25,Indomitable Spirit III,Passive,When your health drops to 30% or lower. your Ki recovery speed will be increased by 5% when you have a switchglaive equipped as your main weapon.,"Indomitable Spirit II
Cleared Mission ""???""",11
26,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you  have a switchglaive equipped as your main weapon.",Switch Stance: Retribution,11
27,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you  have a switchglaive equipped as your main weapon.","Cleared Mission ""The Sun Sets On Mount Tenno"".
Cornered Tiger I",11
28,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you  have a switchglaive equipped as your main' weapon."," 
Cleared Mission ""???""
Cornered Tiger II",11
29,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when you have a switchglaive equipped as your main weapon.",Transient Blade,11
30,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when, you have a switchglaive equipped as your main weapon."," 
Cleared Mission ""The Sun Sets On Mount Tenno"".
Switch Stance: Blade
Cornered Boar I",11
31,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have a switchglaive equipped as your Main weapon. "," 
Cleared Mission ""???""
Cornered Boar II",11
32,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have a switchglaive equipped as your main weapon.",Blinding Edge,11
33,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have a switchglaive equipped as your main weapon."," 
Cleared Mission ""The Sun Sets On Mount Tenno"".
Full Moon Kata I",11
34,Full Moon Kata III,Passive,"While in full health, your melee damage increases by I% when you have a switchglaive equipped as your main weapon."," 
Cleared Mission ""???""
Full Moon Kata II",11
35,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have a switchglaive equipped as your main weapon.,Skyward Blade,11
36,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have a switchglaive equipped as your main weapon.," 
Cleared Mission ""The Sun Sets On Mount Tenno"".
Shadow Strike I",11
37,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have a switchglaive equipped as your main weapon.," 
Cleared Mission ""???""
Shadow Strike II",11
38,Armor Piercer I,Passive,Increases Final Blow damage by 4% when you have a switchglaive equipped as your main weapon,Transient Blade,11
39,Armor Piercer II,Passive,Increases Final Blow damage by 3% when you have a switchglaive equipped as your main weapon.,"Blinding Edge
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
40,Armor Piercer III,Passive,Increases Final Blow damage by 2% when you have a switchglaive equipped as your main weapon.,"Armor Piercer II
Cleared Mission ""???""",11
41,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you base a switchglaive equipped as your main weapon.,Focused Retribution,11
42,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a switchglaive equipped as your main weapon.,"Switch Stance: Retribution
Passage to the Afterlife I
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
43,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have a switchglaive equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ""???""",11
44,Infinite Retribution II,Active,"Press Square button to attack after using Infinite Retribution. The damage dealt by this attack increases based on the number of times you spun your switchglaive. (High Stance Only).
Command: L1 + Square Button (Square While guarding).","Infinite Retribution
Cleared Mission ""???""",11
45,Empty Retribution,Active,Perform a spin attack with the switchglaive in scythe form. (High Stance Only),"Celestial Retribution
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
46,Tranquil Edge,Active,"Parry the enemy's attack before shifting your weight and counterattacking. (Mid Stance Only).
Command: L1 + Square Button (Square While guarding).","Blinding Edge Cleared Mission ""The Sun Sets On Mount Tenno"".",11
0,Water Shadow,Active,"Parries an enemy attack, then places you behind them. ( Mid stance only).
Command: L1 + Triangle button (triangle while guarding",Leaf Glide,12
1,Water Shadow II,Active,"When Water shadow succeeds, allows you to slice attack with an additional push of triangle button (Mid stance only)",Water Shadow,12
2,Defense Arts I,Passive,Increases Ki recover speed while guarding by 20% when you have a sword equipped as your main weapon.,Haze II,12
3,Defense Arts II,Passive,Increases Ki recovery speed while guarding by 15% when you have a sword equipped as your main weapon.,"Defense Arts I
Cleared Mission ''The sun Sets On Mount Tenno''",12
4,Defense Arts III,Passive,Increases Ki recovery speed while guarding by 10% when you have a sword equipped as your main weapon.,"Defense Arts II
Cleared Mission ''???''",12
5,Leaf Glide,Active,"Parries an opponent's attack and then maneuvers over the opponent. (Mid stance only).
Command: L1 + square button (square While guarding).",Base,12
6,Haze,Active,"Parries an enemy attack, neutralizing it. (Mid stance only).
Command: L1 + Square Button (Square While guarding).",Leaf Glide,12
7,Haze II,Active,"When Haze succeeds, allow you to thrust attack with an extra Square button (Mid Stance only).",Haze,12
8,First Rule of Thrusting,Passive,Damage of thrust attacks increases by 3% when you have a sword equipped as your main weapon.,"Leaf Glide
Morning Moon",12
9,Second Rule of Thrusting,Passive,Damage of thrust attacks increases by 2% when you have a sword equipped as your main weapon.,First Rule of Thrusting,12
10,Third Rule of Thrusting,Passive,Damage of thrust attacks increases by 1% when you have a sword equipped as your main weapon.,Second Rule of Thrusting,12
11,Tachi Arts I,Passive,Increases melee damage against enemies with full health by 5% when you have a sword equipped as you main weapon.,Morning Moon,12
12,Tachi Arts II,Passive,Increases melee damage against enemies with full health by 4% when you have a sword equipped as your main weapon.,Tachi Arts I,12
13,Tachi Arts III,Passive,Increases melee damage against enemies with full health by 3% when you have a sword equipped as your main weapon.,"Tachi Arts II
Cleared Mssion ''???''",12
14,Tempest,Active,"Pressing L1 button after breaking through an enemy's guard will knock the enemy to the ground. (Mid/Low stance only).
Command: L1 after knocking enemy off balance.",Sword Ki,12
15,Backwave,Active,"Guard just before an incoming hit to deflect the attack and knock the attacker off balance. (Mid stance only).
Command: L1 the moment before an enemy's attack conn.",Tempest,12
16,Backwave II,Active,"When Backwave succeeds, follow up with Tempest (Mild stance only)",Backwave,12
17,Kick,Active,"Follows up a combo with a kick that causes a large amount of Ki damage. (Mid/Low stance only).
Command: press triangle button at end of combo.",Morning Moon,12
18,Heaven Flash,Active,"Follows up a combo with a kick to the enemy that launches you up, then finishes with a downward slice (Low stance only).
Command: Press L3 Up + X at end of combo.",Base,12
19,Swift Step,Active,"Quickly maneuvers behind the opponent (Low stance only).
Command: Press L3 Up + X at end of combo.",Heaven Flash,12
20,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have a sword equipped as your main weapon.,Swift Step,12
21,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have a sword equipped as your main weapon.,Shadow Strike I,12
22,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have a sword equipped as your main weapon.,Shadow Strike II,12
23,Armor Piercer I,Passive,Increases Final Blow damage by 4% when you have a sword equipped as your main weapon,Heaven Flash,12
24,Armor Piercer II,Passive,Increases Final Blow damage by 3% when you have a sword equipped as your main weapon,Armor Piercer I,12
25,Armor Piercer III,Passive,Increases Final Blow damage by 2% when you have a sword equipped as your main weapon,Armor Piercer II,12
26,Swallow,Active,"Follows up a combo with a slash while stepping back.
Command: Triangle button at end of combo.",Kick,12
27,Swallow II,Active,Alters backward movement when wearing light armor.,Swallow,12
28,Flowing Shadow,Active,"Performs three rapid attacks while circling around the enemy.
Command: L1 + triangle Button (triangle While guarding)","Swallow II
Cleared Mission ''???''",12
29,Shadow Sword,Active,"Finish off a sword combo by striking the enemy with the sword's scabbard.
Command: square button at end of combo.","Heaven Flash
Sword Ki",12
30,Sword of Discernment,Active,"Staggers the enemy by bashing them with the sheath, then follows up with a downward slash.
Command: L1 + Square Button (Square While guarding).","Shadow Sword
Cleared Mission ''The Sun Sets On Mount Tennon''",12
31,Morning Light,Active,"After getting knocked down, press triangle button to attack while getting back up.
Command: triangle button while downed.","Sword of Discernment
Cleared Mssion ''???''",12
32,Sword Ki,Active,"Dispenses Ki from your sword to stagger surrounding enemies.
Command: Press L1 + triangle button (triangle while guarding).",Base,12
33,Relentless I,Passive,Maximum Ki increases by +30 when you have a sword equipped as your main weapon.,Sword Ki,12
34,Relentless II,Passive,Maximum Ki increases by +20 when you have a sword equipped as your main weapon.,Relentless I,12
35,Relentless III,Passive,Maximum Ki increases by +10 when you have a sword equipped as your main weapon.,Relentless II,12
36,Iai Quickdraw,Active,Gathers power while keeping your sword in its scabbard for a quick-draw and rapid strike. It can only be used when your sword is sheathed. Command: Hold R1 + Circle button,Sword Ki,12
37,Iai Quickdraw II,Active,Allows you to accumulate much more power.,Iai Quickdraw,12
38,Tiger Sprint,Active,"Rushes forward, with still sheathed, before dealing a powerful blow.
Command: Hold R1 + Circle button.",Iai Quickdraw II,12
39,Iai Quickdraw III,Active,Immediately puts you in Iai stance when Ki Pulse succeeds.,Iai Quickdraw II,12
40,Night Rain,Active,"Unleashes a barrage of quick slashes. 
Command: Hold R1 + circle button.",Iai Quickdraw III,12
41,Morning Moon,Active,"Follows up a combo with a jumping slice. (High stance only).
Command: press triangle at end of combo.",Base,12
42,Sword of Meditation,Active,"Performs a powerful attack that has a wide opening.
Command: L1 + Triangle button (triangle while guarding).",Morning Moon,12
43,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you have a sword equipped as your main weapon.,Morning Moon,12
44,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a sword equipped as your main weapon.,Passage to the Afterlife I,12
45,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have a sword equipped as your main weapon.,Passage to the Afterlife II,12
46,Sword of Celerity,Active,Press Square Button after using Sword Ki to slash at enemies arround you while charging forward.,"Sword Ki
Morning Moon",12
0,Demon Dance: Heaven,Active,"Automatically repositions you while evading attacks after a successful Ki Pulse. (High Stance Only).
Command: During Ki Pulse", Base,13
1,Demon Dance: Man,Active,"Automatically repositions you while evading attacks after a successful Ki Pulse. (Mid Stance Only)
Command: During Ki Pulse",Base,13
2,Demon Dance: Earth,Active,"Automatically repositions you while evading attacks after a successful Ki Pulse. (Low Stance Only)
Command: During Ki Pulse", Base,13
3,Pulverize: Heaven,Active,Press Square button after a Demon Dance: Heaven to perform a folbw-up attack. (High Stance Only).,Demon Dance: Heaven,13
4,Pulverize: Man,Active,Press Squqre button after a Demon Dance: Man to perform a follow-up attack. (Mid Stance Only),Demon Dance: Man,13
5,Pulverize: Earth,Active,Press Squqre button after a Demon Dance: Earth to perform a follow-up attack. (Low Stance Only),Demon Dance: Earth,13
6,Mountain Breaker,Active,"Unleashes a powerful strike. (High Stance Only).
Command: L1 + Triangle Button (Triangle while guarding).",Demon Dance: Heaven,13
7,Tiger Bite,Active,"Rapidy closes in on an enemy and sends them flying. (Mid Stance Only).
Command: Button (Triangle while guarding).",Demon Dance: Man,13
8,Double Kick,Active,"Performs a two-tier kick. (Low Stance Only).
Command: Button (Triangle while guarding).",Demon Dance: Earth,13
9,Impenetrability,Active,Guard just before an incoming hit to deflect the attack and knock the attacker off balance. (Mid Stance Only),Tiger Bite,13
10,Dragon Slayer,Active,Press L1 after a successful Impenetrability to unleash a powerful attack. (Mid Stance Only),Impenetrability,13
11,Dragon Slayer II,Active,Press L1 after a Dragon Slayer to perform an additional attack. (Mid Stance Only),"Dragon Slayer
Cleared Mission ""???""",13
12,Wild Lions,Active,"Swings the tonfa around, attacking nearby enemies. 
Command: L1 + Square Button (Square while guarding).",Base,13
13,Shove,Active,"Pushes an enemy back, staggering them. (High/Mid Stance Only).
Command: Triangle Button at end of combo.",Demon Dance: Heaven,13
14,Sweeping Kick,Active,"Aims a kick at the enemy's feet. (Mid/low Stance Only).
Command: Triangle Button at end of combo.",Demon Dance: Man,13
15,Crimson Lotus,Active,"Follows up a Strong Attack with a thrust from a single tonfa.
Command: Square Button at end of combo. ",Wild Lions,13
16,Devastation,Active,"Follows up a Quick Attack with tfrusts from both tonfa.
Command: Triangle Button at end of combo.","Crimson Lotus
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
17,Urgency,Active,"Begins with a slow movement before instantly closing in on the enemy to deliver a powerful bow. (High Stance Only).
Command: L1 + Triangle button (triangle guarding).","Mountain Breaker
Cleared Mission ""???""",13
18,Prescience,Active,"Evades all incoming attacks during the recovery period following a dodge. (Low Stance Only)

","Double Kick
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
19,Buoyancy I,Active,"Increases your damage when using tonfa in proportion to how light your equipment is. (Scaling: D-).
Command: Triangle Button at end of combo.",Sweeping Kick,13
20,Buoyancy II,Passive,Increases your damage when using tonfa in proportion to how light your equipment is. (Scaling: D),"Buoyancy I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
21,Buoyancy III,Passive,Increases your damage when using tonfa in proportion to how light your equipment is. (Scaling: D+),"Buoyancy II
Cleared Mission ""???"" ",13
22,Three Wars Kata I,Passive,Reduces Ki damage received by 6% when using tonfa.,Wild Lions,13
23,Three Wars Kata II,Passive,Reduces Ki damage received by 3% when using tonfa.,"Three Wars Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
24,Three Wars Kata III,Passive,Reduces Ki damage received by 3% when using tonfa.,"Three Wars Kata II
Cleared Mission ""???""",13
25,Focused Strike,Active,"Builds up power while moving slowly, then releases it in a single devastating blow. 
Command: Hold Triangle ","Wild Lions
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
26,Heavenly Chain,Active,"Follows up a Strong Attack with a series of tonfa strikes.
Command: Square at end of combo.","Shove
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
27,Thousand Tongues,Active,"Parries an enemy's attack and counters with a flurry of tonfa strikes. (Mid Stance Only).
Command: L1 + Triangle button (triangle guarding).","Tiger Bite
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
28,Relentless I,Passive,Maximum Ki increases by +30 when you have tonfa equipped as your main weapon.,"Three Wars Kata I
Focused Strike",13
29,Relentless II,Passive,Maximum Ki increases by +20 when you have tonfa equipped as your main weapon.,"Relentless I
Three Wars Kata II
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
30,Relentless III,Passive,Maximum Ki increases by +10 when you have tonfa equipped as your main weapon.,"Relentless II
Cleared Mission ""???""",13
31,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 15% when you have tonfa equipped as your main weapon.",Pulverize: Man,13
32,Indomitable Spirit II,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 10% when you have tonfa equipped as your main weapon.","Indomitable Spirit I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
33,Indomitable Spirit III,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 5% when you have tonfa equipped as your main weapon.","Indomitable Spirit II
Cleared Mission ""???""",13
34,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you have tonfa equipped as your main weapon.",Pulverize: Heaven,13
35,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you have tonfa equipped as your main weapon.","Cornered Tiger I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
36,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 5% when you have tonfa equipped as your main weapon.","Cornered Tiger II
Cleared Mission ""???""",13
37,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when, you have tonfa equipped as your main wearen.","Wild Lions
Demon Dance: Earth",13
38,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when you have tonfa equipped as your main weapon","Cornered Boar I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
39,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have tonfa equipped as your main weapon.","Cornered Boar II
Cleared Mission ""???""",13
40,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have tonfa equipped as your main weapon.",Pulverize: Earth,13
41,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have tonfa equipped as your main weapon.","Full Moon Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
42,Full Moon Kata III,Passive,"While in full health, your melee damage increases by I% when you have tonfa equipped as your main weapon.","Cleared Mission ""???""
Full Moon Kata II",13
43,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have a Tonfa equipped as your main weapon.,Demon Dance: Earth,13
44,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have a Tonfa equipped as your main weapon.,"Shadow Strike I
Cleared Mission ""The Sun Sets On Mount Tenno"".",13
45,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have a Tonfa equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""???""",13
46,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you have a Tonfa equipped as your main weapon.,"Demon Dance: Man
Demon Dance: Heaven

 ",13
47,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a Tonfa equipped as your main weapon.,"Cleared Mission ""The Sun Sets On Mount Tenno"".
Passage to the Afterlife I",13
48,Passage to the Afterlife III,Passive,Increases grapple damage by 3% when you have a Tonfa equipped as your main weapon.,"Cleared Mission ""???""
Passage to the Afterlife II",13
49,Fleetfoot,Passive,Swiftly close the distance between you and your enemy. (Mid/Low Stance Only),"Focused Strike
Cleared Mission ""???""",13
